document_short_name,document_full_name,authors,document_link,license,license_link
presidency,American Government OER Materials The Presidency,Jesse Cragwall,https://oercommons.org/courseware/lesson/89238/overview,CC-BY-NC-SA,https://creativecommons.org/licenses/by-nc-sa/4.0/
political_parties,American Government OER Materials Political Parties,Jesse Cragwall,https://oercommons.org/courseware/lesson/89238/overview,CC-BY-NC-SA,https://creativecommons.org/licenses/by-nc-sa/4.0/
gov_and_cit,American Government OER Materials Government and Citizenship,Jesse Cragwall,https://oercommons.org/courseware/lesson/89238/overview,CC-BY-NC-SA,https://creativecommons.org/licenses/by-nc-sa/4.0/
public_transport,Service Level Benchmark,Hermen Cléusia Dabo and Aryan Kumar Singh,https://www.slideshare.net/HermenDabo/service-level-benchmarkpptx,,
intro_to_graphrag,Intro to GraphRAG,Microsoft,https://github.com/microsoft/RAG_Hack/blob/main/slides/RAGHackSession-Intro-to-GraphRAG.pptx,MIT,https://github.com/microsoft/RAG_Hack/tree/main?tab=MIT-1-ov-file#readme
healthcare_market,Healthcare Market - Health Economics,Zulfiquer Ahmed Amin,https://www.slideshare.net/slideshow/healthcare-market-health-economicspptx/267021544,,
game_stop,Keep calm and carry on gaming!,Aalto Consulting,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fmbacasecomp.com%2Fwp-content%2Fuploads%2F2022%2F10%2FAalto_Case5_final.pptx&wdOrigin=BROWSELINK,,
palestinian_israeli_pulse,Palestinian-Israeli Pulse A Joint Poll,"Khalil Shikaki, Dahlia Scheindlin, Nimrod Rosler, and Alon Yakter",https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fpcpsr.org%2Fsites%2Fdefault%2Ffiles%2FIsrPal-Aug-2024_12-Sept-Presss-conf-DRS.pptx&wdOrigin=BROWSELINK,,
EMOD,"EMOD User Meeting - Introduction","IDM, Daniel Bridenbecker",https://github.com/EMOD-Hub/.github/tree/e05beac1bd44e1f3a2093c77407fdd8c73b7f9db/profile/presentations,MIT,https://github.com/EMOD-Hub/.github?tab=MIT-1-ov-file
design_doc,JSConf EU LED Booth Design Doc,Bryan Hughes,https://github.com/nebrius/azure-led-booth/blob/732449f081641ff5126cb630cde295b7e0f39291/design%20doc.pptx,MIT,https://github.com/nebrius/azure-led-booth/blob/master/LICENSE.md
bao2017,"Your Exploit is Mine: Automatic Shellcode Transplant for Remote Exploits","Tiffany Bao, Fish Wang, Yan Shoshitaishvili, David Brumley",https://github.com/tiffanyb/tiffanyb.github.io/tree/master/slides,MIT,https://github.com/tiffanyb/tiffanyb.github.io/blob/master/LICENSE
bao2017csf,How Shall We Play a Game? A Game-theoretical Model for Cyber-warfare Games,"Tiffany Bao, Yan Shoshitaishvili, Fish Wang, Christopher Kruegel, Giovanni Vigna, and David Brumley",https://github.com/tiffanyb/tiffanyb.github.io/tree/master/slides,MIT,https://github.com/tiffanyb/tiffanyb.github.io/blob/master/LICENSE
02_sofS,"From Science, Computer Science, to Software Security","Tiffany Bao",https://github.com/tiffanyb/tiffanyb.github.io/tree/73e0f16b996deba234d3e007e1cac9f356c0e344/courses/cse591/slides,MIT,https://github.com/tiffanyb/tiffanyb.github.io/blob/master/LICENSE
02_prerequisites,"Essentials for Software Security",Tiffany Bao,https://github.com/tiffanyb/tiffanyb.github.io/tree/73e0f16b996deba234d3e007e1cac9f356c0e344/courses/cse545/slides,MIT,https://github.com/tiffanyb/tiffanyb.github.io/blob/master/LICENSE
06_vulns,"Stack vulnerabilities: II",Tiffany Bao,https://github.com/tiffanyb/tiffanyb.github.io/tree/73e0f16b996deba234d3e007e1cac9f356c0e344/courses/cse545/slides,MIT,https://github.com/tiffanyb/tiffanyb.github.io/blob/master/LICENSE
Denes_MSc,"Modeling Dynamic Transitions in the Global Air Transportation System",Dénes Csala,https://github.com/csaladenes/csaladenes.github.io/tree/ca27d90ec8cf9f2a5a436840d850ca3b00b9cc5e/doc,MIT,https://github.com/csaladenes/csaladenes.github.io/blob/master/LICENSE
Module02_Mig,"Application Migration & Modernization Migration Patterns and Approaches",MS Azure,https://github.com/Azure-Samples/LegacyDotNetAppMigrationWorkshop/tree/7f7c80b5fb318cfca7a1f95578a6f3b7f586c9b3/Presentation,MIT,https://github.com/Azure-Samples/LegacyDotNetAppMigrationWorkshop/blob/main/LICENSE.md
Module03_AC,"Migration Patterns and Approaches Infrastructure as code with ARM",MS Azure,https://github.com/Azure-Samples/LegacyDotNetAppMigrationWorkshop/tree/7f7c80b5fb318cfca7a1f95578a6f3b7f586c9b3/Presentation,MIT,https://github.com/Azure-Samples/LegacyDotNetAppMigrationWorkshop/blob/main/LICENSE.md
Module04_Devops,"Migration Patterns and Approaches DevOps",MS Azure,https://github.com/Azure-Samples/LegacyDotNetAppMigrationWorkshop/tree/7f7c80b5fb318cfca7a1f95578a6f3b7f586c9b3/Presentation,MIT,https://github.com/Azure-Samples/LegacyDotNetAppMigrationWorkshop/blob/main/LICENSE.md
shot_pattern,"Shot Pattern Analysis and Prediction",Dennis Evangelista,https://github.com/devangel77b/ew309/tree/dbee94928db25920a2985787ab112f11f82b5eab/course/12-ballistics-analysis,GPL-3.0,https://github.com/devangel77b/ew309/blob/master/LICENSE
database_application,"Database Application Development",Akash Das,https://github.com/akash-coded/mysql/blob/89cc8dbb27172fee627b8ef2749c506ecc7940c6/notes/slides/database-application-development.pptx,Apache-2.0,https://github.com/akash-coded/mysql/blob/master/LICENSE
data_warehousing,Data Warehousing,Akash Das,https://github.com/akash-coded/mysql/blob/89cc8dbb27172fee627b8ef2749c506ecc7940c6/notes/slides/data-warehousing.pptx,Apache-2.0,https://github.com/akash-coded/mysql/blob/master/LICENSE
2011_InSituTalk,"Parallel In Situ Coupling of Simulation with a Fully Featured Visualization System",VisIt,https://github.com/visit-dav/visit/tree/c726b0e1b223d843d988f02bb26942c3b15a2d47/docs/Presentations,BSD-3-Clause,https://github.com/visit-dav/visit/blob/develop/LICENSE
2011_VisIt_Update,"2011 Update on VisIt",VisIt,https://github.com/visit-dav/visit/tree/c726b0e1b223d843d988f02bb26942c3b15a2d47/docs/Presentations,BSD-3-Clause,https://github.com/visit-dav/visit/blob/develop/LICENSE
2012_Libsim_Update,"VisIt Libsim Update",VisIt,https://github.com/visit-dav/visit/tree/c726b0e1b223d843d988f02bb26942c3b15a2d47/docs/Presentations,BSD-3-Clause,https://github.com/visit-dav/visit/blob/develop/LICENSE
Waldron_2015,"Data Science and Bioinformatics:Exploiting Publicly Available Public Health Data",Levi Waldron,https://github.com/waldronlab/presentations/tree/deb36d5935b892483e6c1aa03b375b608f3283f5,CC0-1.0,https://github.com/waldronlab/presentations/blob/master/LICENSE
Waldron_2018,"Towards replicable and generalizable genomic prediction models",Levi Waldron,https://github.com/waldronlab/presentations/tree/deb36d5935b892483e6c1aa03b375b608f3283f5,CC0-1.0,https://github.com/waldronlab/presentations/blob/master/LICENSE
Waldron_2023,"Databases, standardization, and methods for more efficient learning from published data and literature in cancer genomics",Levi Waldron,https://github.com/waldronlab/presentations/tree/deb36d5935b892483e6c1aa03b375b608f3283f5,CC0-1.0,https://github.com/waldronlab/presentations/blob/master/LICENSE
Multimodel_Azure,"Multimodel Multimodal and Multiagent with Azure",Microsoft,https://github.com/waimanhui/MS-Reactor/tree/3fbcb7391e686a979d007f332ccabc59f291c290/decks,CC0-1.0,https://github.com/waimanhui/MS-Reactor/blob/main/LICENSE
Learn_Azure,"Playing with Azure AI",Microsoft,https://github.com/waimanhui/MS-Reactor/tree/3fbcb7391e686a979d007f332ccabc59f291c290/decks,CC0-1.0,https://github.com/waimanhui/MS-Reactor/blob/main/LICENSE
Microsoft_Reactor,"AI @ Industries",Microsoft,https://github.com/waimanhui/MS-Reactor/tree/3fbcb7391e686a979d007f332ccabc59f291c290/decks,CC0-1.0,https://github.com/waimanhui/MS-Reactor/blob/main/LICENSE
IoT_ELP_Module4(MP),"Big Data 2.0 IoT as your new Operational Data Source",Microsoft,https://github.com/microsoft/Internet-of-Things-Event-Learning-Path/blob/d0c69d244a6af5f08b8680bd2b02ff58cf012f1c/iot40/slides/IoT%20ELP%20Module%204%20(Main%20Presentation)%20-%20Big%20Data%202.0%20IoT%20as%20your%20New%20Operational%20Data%20Source.pptx,"CC-BY 4.0",https://github.com/microsoft/Internet-of-Things-Event-Learning-Path/blob/main/LICENSE
IoT_ELP_Module5(MP),"Presentation brief for MCT’s",Microsoft,https://github.com/microsoft/Internet-of-Things-Event-Learning-Path/blob/d0c69d244a6af5f08b8680bd2b02ff58cf012f1c/iot50/slides/IoT%20ELP%20Module%205%20(Main%20Presentation)%20-%20Get%20to%20Solutioning%20–%20Strategy%20and%20Best%20Practices%20when%20Mapping%20Designs%20from%20Edge%20to%20Cloud.pptx,"CC-BY 4.0",https://github.com/microsoft/Internet-of-Things-Event-Learning-Path/blob/main/LICENSE
stakex_cms,"StakeX – Organizational Networks from Web Research",Q Agentur für Forschung GmbH,"available on request",,
simmering_llms,"Large Language Models for Aspect-Based Sentiment Analysis",Q Agentur für Forschung GmbH,"available on request",,
simmering_huoviala_llms,"Where do LLMs fit in NLP pipelines?",Q Agentur für Forschung GmbH,"available on request",,
q_llms_roche,"Large language models revolutionize content analysis in market research",Q Agentur für Forschung GmbH,"available on request",,
machine_learning_q,"Machine Learning in Market Research",Q Agentur für Forschung GmbH,"available on request",,
sun_and_tan,"Insights with Cosmention: Sun & Tan",Q Agentur für Forschung GmbH,"available on request",,
cosmetics_trends,"Trend Report",Q Agentur für Forschung GmbH,"available on request",,
ai_guide,"PRACTICAL GUIDE: SUCCESSFUL USE OF AI IN MARKET RESEARCH",Q Agentur für Forschung GmbH,"available on request",,
